type,c1,c2,c3
v,1.0,-1.0,0.0
v,0.9238795325112867,-1.0,0.3826834323650898
v,0.7071067811865476,-1.0,0.7071067811865475
v,0.38268343236508984,-1.0,0.9238795325112867
v,6.123233995736766e-17,-1.0,1.0
v,-0.3826834323650897,-1.0,0.9238795325112867
v,-0.7071067811865475,-1.0,0.7071067811865476
v,-0.9238795325112867,-1.0,0.3826834323650899
v,-1.0,-1.0,1.2246467991473532e-16
v,-0.9238795325112868,-1.0,-0.38268343236508967
v,-0.7071067811865477,-1.0,-0.7071067811865475
v,-0.38268343236509034,-1.0,-0.9238795325112865
v,-1.8369701987210297e-16,-1.0,-1.0
v,0.38268343236509,-1.0,-0.9238795325112866
v,0.7071067811865474,-1.0,-0.7071067811865477
v,0.9238795325112865,-1.0,-0.3826834323650904
v,1.0,1.0,0.0
v,0.9238795325112867,1.0,0.3826834323650898
v,0.7071067811865476,1.0,0.7071067811865475
v,0.38268343236508984,1.0,0.9238795325112867
v,6.123233995736766e-17,1.0,1.0
v,-0.3826834323650897,1.0,0.9238795325112867
v,-0.7071067811865475,1.0,0.7071067811865476
v,-0.9238795325112867,1.0,0.3826834323650899
v,-1.0,1.0,1.2246467991473532e-16
v,-0.9238795325112868,1.0,-0.38268343236508967
v,-0.7071067811865477,1.0,-0.7071067811865475
v,-0.38268343236509034,1.0,-0.9238795325112865
v,-1.8369701987210297e-16,1.0,-1.0
v,0.38268343236509,1.0,-0.9238795325112866
v,0.7071067811865474,1.0,-0.7071067811865477
v,0.9238795325112865,1.0,-0.3826834323650904
f,1,0,16,17
f,2,1,17,18
f,3,2,18,19
f,4,3,19,20
f,5,4,20,21
f,6,5,21,22
f,7,6,22,23
f,8,7,23,24
f,9,8,24,25
f,10,9,25,26
f,11,10,26,27
f,12,11,27,28
f,13,12,28,29
f,14,13,29,30
f,15,14,30,31
f,0,15,31,16
f,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
f,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
